TimesUsed,OftenText,OftenVideo,OftenPhone,OftenSocialMedia,OftenSoloGame,OftenMultiplay,OftenEntertain,OftenCultural,OftenCreative,FeatureTalkFriends,FeatureTalkStranger,FeatureScreenshot,DataPriv,PrivFeatUsed,ControlPriv,BiometricDevelop,BiometricMarket,BiometricSellAnon,BiometricSellData,SoloVMulti,UseVRGames,UseVRUnique,UseVRImmersive,UseVRFriends,UseVRStrangers,UseVRAlone,UseVRDemo,PrimaryUseVR,WishFriends,VRAlone,Lonely,ConnectPeople,NegSocExperience,HarrBubble,HarrInvisib,HarrMute,HarrBlock,HarrLive,HarrVoice,IdealAvatar,WorkTime,HoursVR,USLive,State,GenderID,ConsiderHarrassment,DescribHarr,Howlong,Country
More than once a week,Daily,Rarely,2+ times per week,Daily,2 + times per week,2 + times per week,Monthly,Monthly,Rarely,Very important,Important,Unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Anonymous browsers/proxies (Tor), Adblocker software",Somewhat,Somewhat acceptable,Somewhat acceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Play games,Agree,Disagree,Agree,Agree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Rude gestures",Strongly effective,Effective,Neutral,Strongly effective,Ineffective,Neutral,"It looks like me., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,6-10 hours,Yes,California,Male,Yes,NA,More than a year,NA
2-3x/month,2+ times per week,Daily,Daily,Daily,Monthly,Never used,Rarely,Rarely,Rarely,Neutral,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Acceptable,Acceptable,Acceptable,Neutral,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Play games,Agree,Strongly agree,Disagree,Agree,I have experienced none of these,Effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,"It looks like me., The graphics look realistic.",I don't use VR in my work.,2-5 hours,Yes,California,Female,I don't know/Not applicable,NA,Between 6 months and a year,NA
More than once a week,Daily,Rarely,Daily,2+ times per week,2 + times per week,Monthly,Rarely,Monthly,Monthly,Very unimportant,Very unimportant,Very unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Unacceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Exciting experiences,Strongly disagree,Agree,Strongly disagree,Strongly disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Catcalling/lewd noises, Rude gestures",Effective,Effective,Neutral,Neutral,Effective,Effective,"It looks non-human (robot/animal)., The graphics look realistic., The graphics look like a cartoon.",I don't use VR in my work.,11-20 hours,No,NA,Male,No,NA,More than a year,Canada
About once a week,Daily,Monthly,Monthly,Daily,Once a week,Rarely,Once a week,Monthly,Monthly,Neutral,Unimportant,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Somewhat acceptable,Neutral,Neutral,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Unique experiences,Agree,Agree,Disagree,Disagree,Rude gestures,Neutral,Strongly effective,Strongly effective,Effective,Effective,Neutral,It looks like me.,Less than half of my time in VR is work-related.,1 hour or less,Yes,California,Male,No,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Monthly,Daily,2 + times per week,2 + times per week,Rarely,Rarely,Rarely,Important,Neutral,Neutral,Very important,Don't know/Prefer not to answer,Somewhat,Somewhat acceptable,Somewhat acceptable,Somewhat unacceptable,Somewhat unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Get work done,Disagree,Agree,Strongly disagree,Disagree,I have experienced none of these,Strongly effective,Effective,Strongly effective,Strongly effective,Effective,Neutral,"It looks like me., It looks non-human (robot/animal)., The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,11-20 hours,Yes,California,Female,I don't know/Not applicable,None ,More than a year,NA
More than once a week,2+ times per week,Monthly,2+ times per week,Daily,Daily,2 + times per week,Rarely,Never used,Never used,Neutral,Neutral,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor)",Somewhat,Neutral,Neutral,Neutral,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Play games,Disagree,Strongly agree,Strongly disagree,Disagree,"Violent comments or threats, Rude gestures",Neutral,Strongly effective,Strongly effective,Strongly effective,Neutral,Neutral,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",I don't use VR in my work.,11-20 hours,Yes,Arkansas,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Once a week,Daily,Daily,2 + times per week,Once a week,Rarely,Rarely,2 + times per week,Unimportant,Neutral,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Play games,Disagree,Agree,Disagree,Disagree,I have experienced none of these,Strongly effective,Strongly effective,Strongly effective,Neutral,Neutral,Neutral,"It looks like me., The graphics look realistic.",I don't use VR in my work.,11-20 hours,Yes,Colorado,Male,No,NA,Between 6 months and a year,NA
About once a week,Daily,2+ times per week,Once a week,Daily,Once a week,Rarely,Rarely,Rarely,Monthly,Unimportant,Very unimportant,Don't know/NA,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Not at all,Acceptable,Acceptable,Neutral,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,Unique experiences,Disagree,Disagree,Disagree,Disagree,I have experienced none of these,Effective,Ineffective,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look like a cartoon.",Over half of my time in VR is work-related.,1 hour or less,Yes,Oregon,Male,I don't know/Not applicable,NA,More than a year,NA
About once a week,Once a week,2+ times per week,Once a week,Daily,Once a week,Monthly,Monthly,Once a week,2 + times per week,Neutral,Neutral,Neutral,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Somewhat,Neutral,Neutral,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Make art /experiences <d1>> become a creator of realities,Disagree,Agree,Disagree,Agree,Violent comments or threats,Effective,Effective,Effective,Effective,Effective,Effective,It looks like me.,Less than half of my time in VR is work-related.,6-10 hours,Yes,Colorado,Male,Yes,Random trolls in social VR w/ no personal respect / boundaries,More than a year,NA
More than once a week,Daily,2+ times per week,Never used,Rarely,Daily,Daily,Once a week,Rarely,Rarely,Neutral,Neutral,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Acceptable,Neutral,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Agree,Play games,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,I have experienced none of these,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,"It looks like me., The graphics look realistic.",I don't use VR in my work.,6-10 hours,No,NA,Male,I don't know/Not applicable,NA,Less than 3 months,Uk
More than once a week,Daily,2+ times per week,Daily,Daily,Once a week,Monthly,2 + times per week,2 + times per week,Monthly,Very important,Very important,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Acceptable,Somewhat acceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Play games,Strongly agree,Agree,Strongly disagree,Agree,I have experienced none of these,Strongly effective,Strongly effective,Effective,Strongly effective,Strongly effective,Neutral,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,2-5 hours,Yes,Pennsylvania,Male,I don't know/Not applicable,NA,Between 3 months and 6 months,NA
More than once a week,Daily,Once a week,Once a week,2+ times per week,2 + times per week,Daily,2 + times per week,2 + times per week,2 + times per week,Very important,Important,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Somewhat acceptable,Somewhat acceptable,Unacceptable,Unacceptable,I spend slightly more time in multi-user than in single-user/solo experiences.,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Play games,Agree,Disagree,Agree,Agree,I have experienced none of these,Neutral,Strongly effective,Ineffective,Strongly effective,Neutral,Neutral,It looks like me.,I don't use VR in my work.,6-10 hours,Yes,Idaho,Male,I don't know/Not applicable,NA,Less than 3 months,NA
2-3x/month,Daily,Rarely,Daily,Daily,Once a week,Never used,Once a week,Never used,Rarely,Don't know/NA,Very unimportant,Neutral,Unimportant,None of these,Somewhat,Acceptable,Somewhat acceptable,Don't know/NA,Neutral,I spend significantly more time in multi-user than in single-user/solo experiences.,Agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Unique experiences,Agree,Agree,Disagree,Disagree,I have experienced none of these,Ineffective,Ineffective,Ineffective,Ineffective,Effective,Ineffective,The graphics look like a cartoon.,I don't use VR in my work.,2-5 hours,Yes,Texas,Male,I don't know/Not applicable,NA,Less than 3 months,NA
More than once a week,Daily,Daily,2+ times per week,Daily,Rarely,Never used,Monthly,Once a week,2 + times per week,Important,Very unimportant,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Adblocker software",Very little,Somewhat acceptable,Somewhat acceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Get work done,Agree,Disagree,Agree,Disagree,"I have experienced none of these, I haven't experienced these, but I don't engage in multi-player games or experiences often.",Neutral,Neutral,Neutral,Strongly effective,Ineffective,Effective,It looks like me.,Over half of my time in VR is work-related.,1 hour or less,Yes,Oregon,Gender variant/non-conforming,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,2+ times per week,2+ times per week,Daily,Monthly,Once a week,Monthly,Monthly,Monthly,Very important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp)",Very little,Acceptable,Acceptable,Neutral,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Get work done,Agree,Disagree,Agree,Strongly agree,Rude gestures,Effective,Effective,Effective,Strongly effective,Strongly effective,Neutral,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,2-5 hours,Yes,Washington,Female,No,NA,More than a year,NA
About once a week,Once a week,Once a week,Once a week,Once a week,Once a week,Once a week,Monthly,Once a week,Once a week,Very unimportant,Very unimportant,Unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Neutral,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Exciting experiences,Disagree,Strongly agree,Agree,Disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Stalking",Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,The graphics look like a cartoon.,Over half of my time in VR is work-related.,2-5 hours,Yes,Washington,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,Monthly,Daily,Rarely,Rarely,Monthly,Very important,Very important,Very important,Unimportant,"Two-factor authentication (Authy, Google Authenticator, SMS codes), None of these",Very little,Neutral,Neutral,Somewhat unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Spend time with friends,Agree,Strongly disagree,Agree,Strongly agree,"Rude gestures, Groping",Strongly ineffective,Strongly ineffective,Strongly effective,Strongly effective,Strongly ineffective,Strongly ineffective,The graphics look like a cartoon.,Over half of my time in VR is work-related.,More than 20 hours,Yes,Florida,Male,No,Lone echo sex train flying by u,More than a year,NA
About once a week,Daily,Daily,2+ times per week,Daily,Monthly,Once a week,Monthly,Once a week,2 + times per week,Important,Important,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password)",Somewhat,Neutral,Neutral,Neutral,Somewhat unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Get work done,Agree,Disagree,Agree,Agree,I have experienced none of these,Effective,Effective,Neutral,Effective,Neutral,Neutral,It looks like me.,Over half of my time in VR is work-related.,1 hour or less,Yes,New York,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Daily,Daily,Daily,2 + times per week,Daily,Daily,Daily,Very important,Very important,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Neutral,Neutral,Neutral,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Unique experiences,Agree,Agree,Agree,Agree,"Violent comments or threats, Racist or homophobic comments",Effective,Effective,Effective,Effective,Effective,Neutral,"It looks like me., The graphics look realistic.",I don't use VR in my work.,6-10 hours,No,NA,Male,No,NA,Between 3 months and 6 months,Canada 
More than once a week,Daily,Rarely,2+ times per week,Daily,Daily,Daily,Monthly,Once a week,2 + times per week,Very unimportant,Very unimportant,Very unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Somewhat,Acceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Play games,Agree,Agree,Agree,Strongly disagree,"Sexually suggestive or sexist comments, Rude gestures, Groping",Effective,Effective,Effective,Effective,Neutral,Neutral,The graphics look realistic.,I don't use VR in my work.,6-10 hours,Yes,New Jersey,Male,No,NA,More than a year,NA
More than once a week,Daily,2+ times per week,2+ times per week,Daily,Daily,Once a week,Rarely,Monthly,Monthly,Neutral,Neutral,Neutral,Very important,Don't know/Prefer not to answer,Somewhat,Neutral,Neutral,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Strongly agree,Disagree,Strongly disagree,Disagree,I have experienced none of these,Don't know/NA,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Neutral,The graphics look realistic.,I don't use VR in my work.,6-10 hours,Yes,Texas,Male,I don't know/Not applicable,NA,Between 3 months and 6 months,NA
About once a week,Daily,Rarely,Rarely,Monthly,Once a week,Monthly,Never used,Monthly,Monthly,Neutral,Neutral,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software",Somewhat,Acceptable,Somewhat acceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Disagree,Strongly agree,Strongly agree,Disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Groping",Effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Effective,"It doesn't look like me., The graphics look realistic.",I don't use VR in my work.,6-10 hours,Yes,California,Male,Yes,NA,More than a year,NA
2-3x/month,Daily,Once a week,Monthly,Daily,Monthly,Rarely,Once a week,Rarely,Once a week,Unimportant,Unimportant,Neutral,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor), Adblocker software",Somewhat,Acceptable,Acceptable,Somewhat acceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Play games,Agree,Strongly agree,Strongly disagree,Disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,"It looks like me., The graphics look like a cartoon.",I don't use VR in my work.,1 hour or less,Yes,Ohio,Gender variant/non-conforming,No,NA,Between 3 months and 6 months,NA
More than once a week,Daily,Rarely,Daily,Daily,2 + times per week,Rarely,Once a week,2 + times per week,Once a week,Unimportant,Unimportant,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Acceptable,Somewhat acceptable,Neutral,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Disagree,Agree,Strongly disagree,Disagree,"Rude gestures, Groping",Strongly effective,Strongly effective,Strongly effective,Strongly effective,Effective,Neutral,"It looks like me., The graphics look realistic.",I don't use VR in my work.,2-5 hours,Yes,Arizona,Male,No,"As a male, I have experienced what some might call groping in a virtual game, but... I know it was harmless and just two guys acting stupid.  Sexual Harassment definitely is a subject that needs to be addressed in a VR setting, especially if there are kids or young adults around.",More than a year,NA
About once a week,Daily,Monthly,Daily,Daily,Rarely,Once a week,Once a week,Rarely,Monthly,Very important,Very unimportant,Very important,Important,Don't know/Prefer not to answer,Very little,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,Unacceptable,I spend slightly more time in multi-user than in single-user/solo experiences.,Agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Unique experiences,Agree,Disagree,Disagree,Agree,invading my personal space,Neutral,Ineffective,Effective,Effective,Neutral,Strongly effective,"It looks like me., It doesn't look like me., The graphics look like a cartoon.",Over half of my time in VR is work-related.,1 hour or less,Yes,California,Female,Yes,NA,More than a year,NA
More than once a week,Never used,Never used,Never used,Never used,Never used,Never used,Never used,Never used,Never used,Don't know/NA,Don't know/NA,Don't know/NA,Very unimportant,Suck a dick,Not at all,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Suck a dick,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Suck a dick,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,The graphics look like a cartoon.,I don't use VR in my work.,More than 20 hours,Yes,Other,Suck a dick,I don't know/Not applicable,Suck a dick,More than a year,NA
More than once a week,Daily,Once a week,Rarely,2+ times per week,2 + times per week,Rarely,Monthly,Monthly,Rarely,Neutral,Very unimportant,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Very little,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Unique experiences,Disagree,Strongly agree,Strongly disagree,Disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,6-10 hours,Yes,California,Male,I don't know/Not applicable,NA,Between 6 months and a year,NA
2-3x/month,Daily,Monthly,Monthly,Daily,Monthly,Once a week,Once a week,Rarely,Rarely,Important,Important,Very important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Somewhat,Neutral,Neutral,Neutral,Neutral,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Exciting experiences,Strongly agree,Agree,Disagree,Agree,I have experienced none of these,Neutral,Strongly effective,Strongly effective,Strongly effective,Neutral,Neutral,It looks like me.,Less than half of my time in VR is work-related.,1 hour or less,Yes,California,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,2 + times per week,Daily,Daily,Once a week,Daily,Very important,Very important,Very important,Very important,Don't know/Prefer not to answer,Somewhat,Unacceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Art,Disagree,Disagree,Disagree,Agree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Rude gestures",Effective,Effective,Effective,Effective,Neutral,Neutral,The graphics look realistic.,Over half of my time in VR is work-related.,11-20 hours,Yes,Georgia,Male,Yes,NA,More than a year,NA
More than once a week,Daily,Rarely,Monthly,Daily,Daily,Once a week,Rarely,Once a week,Monthly,Important,Unimportant,Very important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Anonymous browsers/proxies (Tor)",Not at all,Acceptable,Acceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Play games,Agree,Disagree,Disagree,Disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Rude gestures, Assault, Groping",Effective,Effective,Effective,Effective,Strongly effective,Strongly ineffective,It doesn't look like me.,Less than half of my time in VR is work-related.,11-20 hours,No,NA,Male,Yes,"Strong comments due to lack of experience in games.   Immature people in game just coming by and faking masturbation or groping to be ""funny""",More than a year,Canada
More than once a week,Daily,Rarely,Daily,Daily,Daily,2 + times per week,Daily,Once a week,Monthly,Neutral,Neutral,Neutral,Unimportant,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Somewhat,Acceptable,Acceptable,Neutral,Neutral,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Unique experiences,Disagree,Agree,Disagree,Agree,I have experienced none of these,Effective,Effective,Effective,Strongly effective,Neutral,Ineffective,It looks like me.,I don't use VR in my work.,More than 20 hours,Yes,Florida,Male,I don't know/Not applicable,NA,Between 3 months and 6 months,NA
More than once a week,Daily,Monthly,Never used,Daily,2 + times per week,2 + times per week,Monthly,Once a week,Once a week,Unimportant,Unimportant,Unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Somewhat unacceptable,Unacceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Play games,Disagree,Agree,Strongly agree,Disagree,I have experienced none of these,Neutral,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Don't know/NA,It looks like me.,I don't use VR in my work.,2-5 hours,Yes,California,Male,No,NA,Less than 3 months,NA
2-3x/month,Never used,Rarely,Rarely,Monthly,Once a week,Monthly,Rarely,Rarely,Once a week,Important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Adblocker software",Somewhat,Acceptable,Acceptable,Neutral,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Play games,Agree,Agree,Agree,Agree,I have experienced none of these,Neutral,Ineffective,Effective,Strongly effective,Neutral,Effective,"It doesn't look like me., The graphics look like a cartoon.",I don't use VR in my work.,2-5 hours,Yes,Idaho,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Monthly,Daily,Daily,Once a week,Once a week,Rarely,Once a week,Once a week,Very important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software",Somewhat,Acceptable,Acceptable,Somewhat acceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Unique experiences,Disagree,Agree,Strongly disagree,Disagree,Groping,Effective,Strongly effective,Effective,Strongly effective,Effective,Neutral,"It looks non-human (robot/animal)., It doesn't look like me., The graphics look like a cartoon.",Over half of my time in VR is work-related.,2-5 hours,Yes,Washington,Male,No,NA,More than a year,NA
More than once a week,Rarely,Never used,Never used,Daily,Daily,Rarely,Once a week,Once a week,Rarely,Very unimportant,Very unimportant,Very unimportant,Very important,"Anonymous browsers/proxies (Tor), Adblocker software",Somewhat,Neutral,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Unique experiences,Disagree,Strongly agree,Disagree,Disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Effective,Neutral,Neutral,The graphics look like a cartoon.,I don't use VR in my work.,11-20 hours,Yes,Connecticut,Male,No,NA,Between 6 months and a year,NA
